SiO2,MgO
46.86485042735043, 9.037971457696228
48.267094017094024, 9.16539245667686
49.33547008547009, 8.751274209989807
46.79807692307693, 8.400866462793068
48.80128205128206, 8.591997961264017
48.267094017094024, 8.305300713557594
45.93002136752137, 7.381498470948013
44.527777777777786, 6.680682976554536
46.3974358974359, 6.680682976554536
45.46260683760684, 5.438328236493374
45.796474358974365, 5.18348623853211
46.464209401709404, 5.279051987767583
46.53098290598291, 5.087920489296636
46.26388888888889, 4.6738022426095815
45.996794871794876, 4.70565749235474
45.863247863247864, 4.38710499490316
45.46260683760684, 4.164118246687053
44.8616452991453, 4.164118246687053
47.59935897435898, 5.7887359836901116
48.33386752136752, 5.97986748216106
48.33386752136752, 5.597604485219164
49.06837606837607, 5.4064729867482155
49.06837606837607, 4.769367991845056
48.53418803418804, 4.769367991845056
47.465811965811966, 4.164118246687053
46.93162393162393, 3.272171253822629
48.80128205128206, 3.399592252803261
49.33547008547009, 3.304026503567787
49.936431623931625, 3.9729867482161056
52.407051282051285, 3.399592252803261
52.6741452991453, 3.399592252803261
50.67094017094017, 2.3165137614678883
53.20833333333334, 1.2015800203873592
53.675747863247864, 2.093527013251782
54.54380341880342, 2.3802242609582045
55.34508547008548, 2.921763506625891
56.279914529914535, 2.603211009174311
57.748931623931625, 1.5838430173292544
56.94764957264958, 0.6281855249745139
57.949252136752136, 0.8193170234454641
58.750534188034194, 1.9023955147808351
59.48504273504274, 1.806829765545361
60.152777777777786, 0.6281855249745139
63.35790598290599, 0.6281855249745139
64.22596153846155, 0.8511722731906222
63.892094017094024, 0.5007645259938815
64.09241452991454, 0.24592252803261871
65.0940170940171, 0.373343527013251
66.5630341880342, 0.5644750254841977
66.89690170940172, 0.21406727828746064
68.1655982905983, 0.18221202854230256
69.10042735042735, 0.30963302752293487
69.43429487179488, 0.18221202854230256
70.50267094017094, 0.21406727828746064
71.03685897435898, 0.4370540265035672
72.43910256410257, 0.34148827726809294
71.23717948717949, 0.15035677879714449
71.90491452991454, 0.4370540265035672
71.83814102564104, 0.15035677879714449
73.50747863247864, 0.373343527013251
74.24198717948718, 0.2777777777777768
75.17681623931625, 0.24592252803261871
71.4375, 1.5201325178389382
73.04006410256412, 0.15035677879714449
73.10683760683762, 0.4051987767584091
