Námsbraut, 1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Almennar brautir,1813,2533,3436,3766,2013,1641,1678,1604,1708,1711,1672,1667,1826,2069,2034,2328,2795,2957,3086,2859,2897,3208,3930,3966,3832,3036,3041,4129,3313,3465,3622,4959
Málabrautir,887,718,653,618,894,1031,1073,1195,1289,1253,1278,1352,1451,1505,1962,1580,1565,1501,1518,1602,1616,1741,1873,1756,1572,1699,1527,1380,1312,1398,1584,1422
Listabrautir,181,187,180,212,267,329,352,367,365,404,416,445,463,479,521,606,600,423,508,578,649,737,894,915,975,972,965,913,1006,1065,1161,1231
Uppeldis- og íþróttabrautir,221,444,683,856,982,1252,1435,1593,1667,1513,1377,1272,1114,1170,1161,1111,1179,769,819,821,829,743,691,634,570,418,382,372,385,453,553,559
Félagsfræðabrautir,482,225,219,277,606,639,671,709,684,820,809,814,912,1048,1031,1371,1670,1869,2110,2192,2320,2293,2792,2885,3050,3240,3481,3777,4570,4760,4720,4563
Viðskipta- og hagfræðabrautir,855,1198,1471,1493,1913,2109,2167,2308,2412,2459,2735,2734,2715,2697,2438,2482,2097,1868,1667,1880,1829,1791,2066,1992,2023,1959,2160,1526,1363,1157,1083,1172
Raungreinabrautir,1772,1318,1119,1102,1721,1941,2181,2287,2294,2296,2218,2274,2108,2069,2242,2644,2755,2804,2735,2733,2893,2944,3225,3189,3225,3732,3829,3996,4240,4654,4818,4852
Iðn- og tæknibrautir,1239,1551,3114,3179,3952,3534,3526,3400,3572,3431,3356,3339,3189,3316,3540,3648,3711,3382,3215,3022,2864,2922,3462,3475,3520,3675,3797,3615,3862,3791,3897,3816
"Búsýslubrautir, matvælabrautir, þjónustuiðnir",483,481,562,546,649,578,650,707,649,924,906,971,979,1041,1076,973,1007,975,963,866,887,949,1189,1132,1093,1150,1205,1218,1241,1151,1157,1052
Heilsubrautir,437,623,1021,1047,1001,1151,1059,895,902,787,690,496,503,456,576,450,454,408,518,472,451,411,491,470,528,451,476,437,598,705,750,833
